Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Date Range,Mean Travel Time (Seconds),Range - Lower Bound Travel Time (Seconds),Range - Upper Bound Travel Time (Seconds)
186,"20001, Northwest Washington, Washington",543,"3000 Eisenhower Avenue, Eisenhower West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1454,1074,1968
186,"20001, Northwest Washington, Washington",544,"5400 Inverchapel Road, Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1563,1160,2104
186,"20001, Northwest Washington, Washington",545,"1900 Storm Drive, Falls Church","9/1/2019 - 9/30/2019, Every day, Daily Average",1357,1066,1727
186,"20001, Northwest Washington, Washington",546,"Moore Lane, Fort Myer, Arlington","9/1/2019 - 9/30/2019, Every day, Daily Average",679,478,963
186,"20001, Northwest Washington, Washington",547,"600 North Owen Street, Seminary Hill, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",996,715,1386
186,"20001, Northwest Washington, Washington",548,"1600 Preston Road, North Ridge, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",734,520,1034
186,"20001, Northwest Washington, Washington",549,"300 North Van Dorn Street, Landmark, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1118,814,1534
186,"20001, Northwest Washington, Washington",550,"4300 Raleigh Avenue, Seminary Hill, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1205,904,1606
186,"20001, Northwest Washington, Washington",551,"4700 Kenmore Avenue, Seminary Hill, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",931,671,1291
186,"20001, Northwest Washington, Washington",552,"5700 Reading Avenue, Alexandria West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1084,796,1475
186,"20001, Northwest Washington, Washington",553,"4900 Seminary Road, Alexandria West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",859,631,1168
186,"20001, Northwest Washington, Washington",554,"1300 North Beauregard Street, Alexandria West, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",910,670,1234
186,"20001, Northwest Washington, Washington",555,"5900 Atteentee Road, Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1459,1105,1925
186,"20001, Northwest Washington, Washington",556,"7800 Montvale Way, McLean","9/1/2019 - 9/30/2019, Every day, Daily Average",1584,1227,2044
186,"20001, Northwest Washington, Washington",557,"8400 Fenwood Drive, West Springfield","9/1/2019 - 9/30/2019, Every day, Daily Average",1568,1214,2023
186,"20001, Northwest Washington, Washington",558,"4000 Wheeler Avenue, Seminary Hill, Alexandria","9/1/2019 - 9/30/2019, Every day, Daily Average",1472,1080,2004
